Date,Max.Demand met during the day (MW)
2015-01-25,-113.0
2015-01-26,-206.0
2015-01-27,-598.0
2015-01-28,734.0
2015-01-29,31.0
2015-01-30,-102.0
2015-01-31,245.0
2015-02-01,-243.0
2015-02-02,-67.0
2015-02-03,35.0
2015-02-04,10.0
2015-02-05,13.0
2015-02-06,-52.0
2015-02-07,108.0
2015-02-08,-665.0
2015-02-09,316.0
2015-02-10,17.0
2015-02-11,-14.0
2015-02-12,20.0
2015-02-13,-47.0
2015-02-14,109.0
2015-02-15,-144.0
2015-02-16,-125.0
2015-02-17,-80.0
2015-02-18,212.0
2015-02-19,-276.0
2015-02-20,27.0
2015-02-21,173.0
2015-02-22,-272.0
2015-02-23,17.0
2015-02-24,14.0
2015-02-25,88.0
2015-02-26,99.0
2015-02-27,-143.0
2015-02-28,88.0
2015-03-01,-105.0
2015-03-02,-368.0
2015-03-03,311.0
2015-03-04,178.0
2015-03-05,105.0
2015-03-06,-46.0
2015-03-07,-934.0
2015-03-08,422.0
2015-03-09,213.0
2015-03-10,108.0
2015-03-11,98.0
2015-03-12,16.0
2015-03-13,-33.0
2015-03-14,104.0
2015-03-15,-174.0
2015-03-16,-68.0
2015-03-17,107.0
2015-03-18,38.0
2015-03-19,90.0
2015-03-20,-72.0
2015-03-21,65.0
2015-03-22,-274.0
2015-03-23,-122.0
2015-03-24,288.0
2015-03-25,92.0
2015-03-26,154.0
2015-03-27,150.0
2015-03-28,-42.0
2015-03-29,-279.0
2015-03-30,-365.0
2015-03-31,342.0
2015-04-01,83.0
2015-04-02,72.0
2015-04-03,-15.0
2015-04-04,-35.0
2015-04-05,-272.0
2015-04-06,-136.0
2015-04-07,353.0
2015-04-08,-27.0
2015-04-09,81.0
2015-04-10,78.0
2015-04-11,81.0
2015-04-12,-54.0
2015-04-13,-367.0
2015-04-14,270.0
2015-04-15,53.0
2015-04-16,134.0
2015-04-17,60.0
2015-04-18,16.0
2015-04-19,-54.0
2015-04-20,-12.0
2015-04-21,402.0
2015-04-22,106.0
2015-04-23,18.0
2015-04-24,71.0
2015-04-25,229.0
2015-04-26,-455.0
2015-04-27,-224.0
2015-04-28,436.0
2015-04-29,120.0
2015-04-30,49.0
2015-05-01,161.0
2015-05-02,-140.0
2015-05-03,54.582692307692014
2015-05-04,-401.582692307692
2015-05-05,232.0
2015-05-06,352.0
2015-05-07,144.0
2015-05-08,245.0
2015-05-09,131.0
2015-05-10,-329.0
2015-05-11,83.0
2015-05-12,116.0
2015-05-13,196.0
2015-05-14,-177.0
2015-05-15,-531.0
2015-05-16,-106.0
2015-05-17,11.0
2015-05-18,181.0
2015-05-19,502.0
2015-05-20,-63.0
2015-05-21,-179.0
2015-05-22,183.0
2015-05-23,61.0
2015-05-24,-43.0
2015-05-25,47.0
2015-05-26,201.0
2015-05-27,150.0
2015-05-28,-186.0
2015-05-29,98.0
2015-05-30,46.0
2015-05-31,-149.0
2015-06-01,-59.0
2015-06-02,-283.0
2015-06-03,-141.0
2015-06-04,-499.0
2015-06-05,306.0
2015-06-06,198.0
2015-06-07,24.0
2015-06-08,278.0
2015-06-09,308.0
2015-06-10,59.0
