,Date (DD/MM/YYYY),Max.Demand met during the day (MW),Shortage during maximum Demand (MW),Energy Met (MU),"Drawal Schedule
(MU)",OD(+)/UD(-) (MU),Max OD (MW),Energy Shortage (MU)
978,20/12/15,3451,23.00,60.30,46.30,0.20,261.00,
979,21/12/15,3520,2.00,58.50,43.90,0.80,288.00,
980,22/12/15,3610,0.00,62.50,48.50,0.20,253.00,
981,23/12/15,3654,2.00,63.60,48.40,1.20,328.00,
982,24/12/15,3765,6.00,67.80,50.40,0.80,286.00,
983,25/12/15,3756,21.00,63.40,49.70,-0.20,284.00,
984,26/12/15,3872,0.00,63.70,50.20,-0.40,286.00,
985,27/12/15,3559,2.00,62.90,48.10,-0.60,219.00,
986,28/12/15,3573,0.00,59.10,45.70,-0.50,242.00,
987,29/12/15,3695,0.00,62.10,49.10,-0.80,241.00,
988,30/12/15,3640,0.00,62.50,48.00,0.60,265.00,
989,31/12/15,3592,0.00,63.60,48.10,1.60,410.00,
990,1/2/16,3555,0.00,57.70,43.60,0.20,388.00,
991,2/2/16,3555,0.00,62.40,48.10,-1.30,265.00,
992,3/2/16,3556,20.00,62.10,48.10,0.20,244.00,
993,4/2/16,3657,6.00,62.80,48.80,-0.10,267.00,
994,5/2/16,3662,0.00,63.20,48.50,0.70,271.00,
995,6/2/16,3740,0.00,64.10,49.90,0.10,270.00,
996,7/2/16,3462,2.00,60.10,45.80,0.40,272.00,
997,8/2/16,3492,0.00,58.20,43.90,0.50,253.00,
998,9/2/16,3606,0.00,47.40,47.30,0.10,316.00,
999,10/2/16,3608,0.00,62.30,47.90,-0.30,262.00,
1000,11/2/16,3637,0.00,61.90,48.20,-0.10,237.00,
1001,12/2/16,3496,0.00,61.10,47.20,0.10,255.00,
1002,13/02/16,3635,0.00,63.60,48.10,0.20,215.00,
1003,14/02/16,3464,2.00,57.80,44.10,0.00,225.00,
1004,15/02/16,3421,0.00,56.50,44.10,-1.40,326.00,
1005,16/02/16,3486,0.00,59.60,45.50,0.20,334.00,
1006,17/02/16,3398,0.00,59.00,45.10,0.00,261.00,
1007,18/02/16,3521,0.00,61.10,46.00,0.30,242.00,
1008,19/02/16,3310,0.00,59.30,45.40,0.10,246.00,
1009,20/02/16,3507,5.00,61.10,46.80,0.50,198.00,
1010,21/02/16,3086,0.00,56.20,42.90,-1.40,192.00,
1011,22/02/16,3073,0.00,52.30,40.10,-1.70,176.00,
1012,23/02/16,3153,0.00,55.10,41.10,0.30,301.00,
1013,24/02/16,3153,0.00,56.90,42.60,0.10,341.00,
1014,25/02/16,3197,0.00,53.00,43.80,-4.70,1099.00,
1015,26/02/16,3217,0.00,60.70,43.50,1.60,290.00,
1016,27/02/16,3395,0.00,59.90,45.30,0.70,224.00,
1017,28/02/16,3109,0.00,56.10,42.20,0.20,214.00,
1018,29/02/16,3018,0.00,54.30,39.60,0.60,214.00,
1019,1/3/16,3139,0.00,57.90,43.50,0.50,265.00,
1020,2/3/16,3753,0.00,60.70,46.10,2.00,150.00,
1021,3/3/16,3211,0.00,60.10,46.00,0.00,214.00,
1022,4/3/16,3217,0.00,61.20,49.20,2.10,265.00,
1023,5/3/16,3353,0.00,63.00,49.70,2.50,240.00,
1024,6/3/16,3114,0.00,57.20,46.80,0.90,263.00,
1025,7/3/16,2855,0.00,52.60,48.20,0.30,200.00,
1026,9/3/16,3159,0.00,59.60,49.40,0.20,235.00,
1027,10/3/16,3339,0.00,61.40,49.30,1.80,260.00,
1028,11/3/16,3270,0.00,62.80,50.60,1.50,276.00,
1029,12/3/16,3373,0.00,63.00,51.90,0.70,290.00,
1030,13/03/16,3120,0.00,56.90,48.90,-0.70,298.00,
1031,14/03/16,2972,0.00,55.40,45.00,0.00,165.00,
1032,15/03/16,3122,0.00,59.60,48.70,0.60,317.00,
1033,16/03/16,3226,0.00,60.40,49.80,1.20,316.00,
1034,17/03/16,3228,0.00,61.40,49.50,1.50,207.00,
1035,18/03/16,3122,0.00,59.60,49.50,-0.20,181.00,
1036,19/03/16,3372,6.00,64.70,52.30,1.70,252.00,
1037,20/03/16,3236,0.00,62.30,50.60,1.50,287.00,
1038,21/03/16,3007,0.00,59.30,49.10,0.00,137.00,
1039,22/03/16,3246,0.00,62.80,52.20,0.30,195.00,
1040,23/03/16,3188,3.00,61.10,50.70,0.10,168.00,
1041,25/03/16,2388,0.00,47.90,43.20,0.30,141.00,
1042,27/03/16,3028,0.00,60.00,54.70,0.80,213.00,
1043,28/03/16,2946,75.00,58.60,53.90,0.40,158.00,
1044,29/03/16,3265,0.00,63.30,58.40,0.60,196.00,
1045,30/03/16,3319,0.00,65.60,59.30,2.10,345.00,
1046,31/03/16,3454,113.00,67.60,62.10,1.40,278.00,
1047,1/4/16,3583,0.00,72.70,65.10,2.00,512.00,
1048,2/4/16,3696,0.00,73.60,66.40,0.40,235.00,
1049,3/4/16,3537,0.00,73.30,65.80,-0.50,200.00,
1050,4/4/16,3587,0.00,74.30,65.10,1.10,206.00,
1051,5/4/16,3976,4.00,81.70,72.90,-1.40,236.00,
1052,6/4/16,3965,0.00,80.60,71.90,0.10,177.00,
1053,7/4/16,3933,0.00,82.20,71.40,-0.70,87.00,
1054,8/4/16,3910,0.00,81.70,70.80,-0.70,157.00,
1055,9/4/16,3844,0.00,76.20,68.70,-0.20,187.00,
1056,10/4/16,3573,0.00,77.30,66.30,-0.80,117.00,
1057,11/4/16,3462,6.00,74.00,63.10,-0.70,104.00,
1058,12/4/16,3737,0.00,79.40,67.70,-1.60,83.00,
1059,13/04/16,3737,13.00,79.00,68.20,-1.00,68.00,
1060,14/04/16,3861,0.00,76.30,66.90,-1.40,97.00,
1061,15/04/16,3835,0.00,81.30,67.30,-0.20,117.00,
1062,16/04/16,3998,3.00,83.80,69.70,0.70,133.00,
1063,17/04/16,4198,8.00,85.00,72.10,1.60,231.00,
1064,18/04/16,4287,12.00,86.90,72.70,0.20,234.00,
1065,19/04/16,4656,6.00,95.20,72.70,7.20,864.00,
1066,20/04/16,4752,0.00,98.10,78.40,-1.10,74.00,
1067,21/04/16,4430,0.00,92.60,75.60,-1.80,123.00,
1068,22/04/16,4653,0.00,95.00,76.60,-1.70,125.00,
1069,23/04/16,4653,0.00,96.10,76.50,-1.60,354.00,
1070,24/04/16,4204,0.00,87.30,69.70,-2.60,79.00,
1071,25/04/16,4030,0.00,78.50,64.20,-0.50,150.00,
1072,26/04/16,4271,0.00,88.40,70.00,-1.00,119.00,
1073,27/04/16,4400,22.00,91.00,71.20,-0.50,123.00,
1074,28/04/16,4389,9.00,93.60,72.10,0.30,209.00,
1075,29/04/16,4585,0.00,99.10,73.60,-0.90,332.00,
1076,30/04/16,4668,0.00,92.70,75.10,-0.50,159.00,
1077,1/5/16,4449,0.00,91.80,72.20,-1.20,125.00,
1078,2/5/16,4524,0.00,87.80,68.00,0.70,271.00,
1079,3/5/16,4955,6.00,95.80,77.60,-0.60,158.00,
1080,4/5/16,5137,0.00,104.90,83.90,1.20,216.00,
1081,5/5/16,4925,0.00,102.00,83.10,-1.60,147.00,
1082,6/5/16,4672,0.00,96.60,77.40,-2.00,146.00,
1083,7/5/16,4605,0.00,94.70,74.80,0.60,382.00,
1084,8/5/16,4589,0.00,89.60,75.10,0.40,151.00,
1085,9/5/16,4744,15.00,92.60,74.80,-0.30,194.00,
1086,10/5/16,4893,0.00,101.50,83.60,-0.40,248.00,
1087,11/5/16,5047,0.00,104.40,88.00,-0.30,201.00,
1088,12/5/16,5044,0.00,100.90,85.10,-1.20,190.00,
1089,13/05/16,5249,0.00,106.20,89.30,0.20,282.00,
1090,14/05/16,5339,8.00,108.90,91.30,-0.30,340.00,
1091,15/05/16,5226,0.00,106.90,88.90,-0.30,223.00,
1092,16/05/16,5258,0.00,104.90,86.80,-0.10,236.00,
1093,17/05/16,5376,32.00,110.90,91.70,0.90,264.00,
1094,18/05/16,5562,13.00,114.40,94.50,0.00,197.00,
1095,19/05/16,5586,0.00,116.80,93.80,0.80,294.00,
1096,20/05/16,5986,0.00,122.30,99.80,1.70,385.00,
1097,21/05/16,6119,0.00,126.20,104.90,0.40,345.00,
1098,22/05/16,5771,0.00,120.50,99.10,-1.00,217.00,
1099,23/05/16,5583,0.00,112.20,93.10,-1.70,164.00,
1100,24/05/16,5569,0.00,104.90,92.20,-4.80,163.00,
1101,25/05/16,5001,7.00,98.50,83.70,0.70,264.00,
1102,26/05/16,5203,0.00,103.10,88.50,-0.90,227.00,
1103,27/05/16,5330,2.00,107.50,91.80,0.00,297.00,
1104,28/05/16,5425,0.00,113.80,94.90,-1.40,209.00,
1105,29/05/16,5500,0.00,111.50,90.90,-1.40,175.00,
1106,30/05/16,4594,0.00,93.80,75.80,-2.30,165.00,
1107,31/05/16,4192,0.00,88.90,74.40,-2.40,265.00,
1108,1/6/16,4903,5.00,89.80,82.20,-1.10,179.00,
1109,2/6/16,5209,0.00,103.40,86.40,-1.10,218.00,
1110,3/6/16,5554,0.00,112.70,92.80,-1.20,128.00,
1111,4/6/16,5759,0.00,117.00,97.90,-0.80,197.00,
1112,5/6/16,5659,0.00,120.10,100.50,0.80,338.00,
1113,6/6/16,5651,0.00,118.60,100.50,0.80,397.00,
1114,7/6/16,5925,62.00,120.40,102.80,-0.40,194.00,
1115,8/6/16,5659,15.00,119.50,102.30,-1.30,249.00,
1116,9/6/16,5829,4.00,116.10,97.70,-0.80,276.00,
1117,10/6/16,5666,0.00,118.10,98.10,-3.30,115.00,
1118,11/6/16,5989,0.00,114.00,93.20,-2.40,265.00,
1119,12/6/16,5172,0.00,99.00,82.00,-1.60,208.00,
1120,13/06/16,4883,0.00,99.50,79.10,-0.90,216.00,
1121,14/06/16,5800,0.00,113.30,90.80,1.30,310.00,
1122,15/06/16,5477,0.00,108.50,87.50,-1.80,316.00,
1123,16/06/16,5733,0.00,115.60,93.20,-0.70,302.00,
1124,17/06/16,5470,0.00,109.70,92.90,-3.20,141.00,
1125,18/06/16,5764,0.00,114.30,93.80,-2.40,74.00,
1126,19/06/16,5622,0.00,117.00,93.80,1.10,272.00,
1127,20/06/16,5583,0.00,110.70,93.20,-0.90,145.00,
1128,21/06/16,5499,0.00,115.10,95.40,-1.50,214.00,
1129,22/06/16,5555,38.00,111.00,97.70,-2.00,239.00,
1130,23/06/16,5535,0.00,113.90,98.30,-0.80,209.00,
1131,24/06/16,5392,12.00,112.90,97.30,0.30,294.00,
1132,25/06/16,5905,0.00,117.20,103.60,-0.30,259.00,
1133,26/06/16,5905,0.00,120.20,105.20,-1.80,486.00,
1134,27/06/16,5688,3.00,116.00,96.40,0.30,273.00,
1135,28/06/16,5917,0.00,123.10,101.50,-0.20,287.00,
1136,29/06/16,5917,0.00,123.90,101.50,-0.20,287.00,
1137,30/06/16,5959,3.00,120.20,96.80,-0.20,158.00,
1138,1/7/16,6156,0.00,129.50,104.70,-0.50,217.00,
1139,2/7/16,6208,47.00,126.30,102.40,-0.30,280.00,
1140,3/7/16,5397,0.00,98.30,83.90,-4.10,21.00,
1141,4/7/16,4608,40.00,93.50,78.00,-2.80,80.00,
1142,5/7/16,5135,0.00,102.00,88.10,-0.80,206.00,
1143,6/7/16,5665,0.00,113.10,97.70,-0.40,221.00,
1144,7/7/16,5616,0.00,115.50,96.90,-1.50,244.00,
1145,8/7/16,5685,0.00,112.60,91.60,0.00,181.00,
1146,9/7/16,5508,0.00,113.10,92.20,-1.90,117.00,
1147,10/7/16,5193,0.00,108.60,88.20,-1.90,120.00,
1148,11/7/16,5192,0.00,104.90,84.80,-1.80,167.00,
1149,12/7/16,5372,3.00,112.10,89.70,0.30,290.00,
1150,13/07/16,5230,0.00,107.70,88.00,-1.90,220.00,
1151,14/07/16,5327,0.00,107.90,88.10,-1.00,237.00,
1152,15/07/16,5414,0.00,107.60,88.30,0.00,199.00,
1153,16/07/16,5159,4.00,107.20,87.30,0.40,261.00,
1154,17/07/16,4910,0.00,93.90,79.10,-1.30,239.00,
1155,18/07/16,4065,0.00,84.50,75.80,-3.00,129.00,
1156,19/07/16,4813,0.00,92.20,79.20,0.50,213.00,
1157,20/07/16,5319,0.00,101.60,88.40,0.70,245.00,
1158,21/07/16,5575,0.00,111.60,95.90,0.30,243.00,
1159,22/07/16,5792,0.00,117.40,96.10,0.40,265.00,
1160,23/07/16,5816,12.00,121.40,97.50,1.40,309.00,
1161,24/07/16,5606,0.00,111.20,90.90,-1.80,115.00,
1162,25/07/16,5239,75.00,104.90,85.30,-2.30,131.00,
1163,26/07/16,5551,0.00,111.10,90.20,-0.20,215.00,
1164,27/07/16,5551,0.00,115.00,88.80,1.10,643.00,
1165,28/07/16,4723,0.00,101.50,79.00,0.00,197.00,
1166,29/07/16,4822,0.00,99.60,78.50,-0.30,159.00,
1167,30/07/16,4561,0.00,96.80,77.70,-2.20,100.00,
1168,31/07/16,4219,0.00,91.30,74.00,-2.00,206.00,
1169,1/8/16,4182,0.00,85.30,70.20,-2.00,106.00,
1170,2/8/16,4526,0.00,92.70,76.60,-1.90,155.00,
1171,3/8/16,4526,0.00,91.90,78.70,-4.00,131.00,
1172,4/8/16,5104,0.00,101.60,82.60,-0.10,202.00,
1173,5/8/16,5420,0.00,110.10,88.80,0.10,210.00,
1174,6/8/16,5638,0.00,116.00,92.00,2.30,273.00,
1175,7/8/16,5375,0.00,105.90,86.60,-0.30,310.00,
1176,8/8/16,5308,0.00,100.70,82.20,-0.10,146.00,
1177,9/8/16,5474,0.00,112.70,92.30,0.60,353.00,
1178,10/8/16,5326,0.00,111.50,91.30,-0.80,275.00,
1179,11/8/16,5248,0.00,109.60,87.80,1.00,328.00,
1180,12/8/16,4859,0.00,102.70,82.50,-1.10,125.00,
1181,13/08/16,4692,0.00,99.10,78.90,-0.40,189.00,
1182,14/08/16,4532,0.00,95.10,76.40,0.20,186.00,
1183,15/08/16,4419,0.00,89.40,71.70,-1.30,162.00,
1184,16/08/16,4779,0.00,84.60,66.60,-0.40,247.00,
1185,17/08/16,5253,0.00,103.80,83.50,0.40,274.00,
1186,18/08/16,4935,0.00,103.70,83.40,-1.50,155.00,
1187,19/08/16,4631,0.00,93.30,79.10,-4.40,87.00,
1188,20/08/16,5182,0.00,102.70,84.50,0.40,266.00,
1189,21/08/16,5032,0.00,101.70,85.60,0.50,173.00,
1190,22/08/16,4987,0.00,98.50,80.80,-0.80,215.00,
1191,23/08/16,5216,0.00,107.00,86.80,-0.50,161.00,
1192,24/08/16,5239,0.00,108.50,86.50,0.50,197.00,
1193,25/08/16,5037,0.00,104.20,83.10,-0.10,244.00,
1194,26/08/16,4686,0.00,97.90,77.80,-1.00,169.00,
1195,27/08/16,5111,0.00,105.60,84.40,-0.10,340.00,
1196,28/08/16,5021,0.00,102.30,81.60,-0.40,121.00,
1197,29/08/16,5176,0.00,102.90,82.30,0.90,243.00,
1198,30/08/16,5176,0.00,102.90,84.10,-0.90,794.00,
1199,31/08/16,4722,0.00,99.00,80.10,-2.10,171.00,
1200,1/9/16,4314,0.00,91.90,75.00,-2.20,191.00,
1201,2/9/16,4323,0.00,91.70,78.50,-0.20,148.00,
1202,3/9/16,4601,0.00,96.40,84.60,-0.60,133.00,
1203,4/9/16,4508,0.00,94.00,82.10,-0.60,166.00,
1204,5/9/16,4615,0.00,92.80,80.20,0.00,205.00,
1205,6/9/16,4798,0.00,100.10,83.60,0.50,165.00,
1206,7/9/16,4832,5.00,99.50,82.00,-0.40,183.00,
1207,8/9/16,4867,0.00,100.90,80.70,0.30,230.00,
1208,9/9/16,4962,0.00,102.30,81.60,0.00,153.00,
1209,10/9/16,5021,0.00,104.90,82.80,0.60,232.00,
1210,11/9/16,4851,0.00,99.80,78.90,-0.40,276.00,
1211,12/9/16,4828,0.00,95.60,74.80,-0.80,90.00,
1212,13/09/16,4937,0.00,102.30,80.30,0.60,626.00,
1213,14/09/16,5006,0.00,105.60,78.00,1.60,257.00,
1214,15/09/16,5029,0.00,104.60,82.80,0.40,155.00,
1215,16/09/16,4996,0.00,106.60,83.40,1.00,212.00,
1216,17/09/16,5059,5.00,105.60,83.40,0.60,197.00,
1217,18/09/16,4932,0.00,103.70,81.60,0.30,177.00,
1218,19/09/16,4926,0.00,99.20,78.70,-1.50,183.00,
1219,20/09/16,5077,12.00,105.90,85.50,0.70,202.00,
1220,21/09/16,5244,0.00,108.10,83.70,-0.30,173.00,
1221,22/09/16,5400,2.00,110.70,84.60,1.40,617.00,
1222,23/09/16,4977,0.00,104.70,80.40,-0.30,262.00,
1223,24/09/16,4903,0.00,103.90,77.50,0.70,238.00,
1224,25/09/16,4713,0.00,99.90,82.30,-1.10,172.00,
1225,26/09/16,4716,0.00,93.10,76.80,-0.80,186.00,
1226,27/09/16,4952,0.00,102.00,83.50,-0.20,188.00,
1227,28/09/16,5065,0.00,102.90,86.00,0.20,188.00,
1228,29/09/16,5081,0.00,106.40,85.20,1.80,334.00,
1229,30/09/16,5212,0.00,108.90,85.50,2.20,363.00,
1230,1/10/16,5237,0.00,109.70,84.80,0.70,161.00,
1231,2/10/16,5104,0.00,107.50,81.10,2.30,241.00,
1232,3/10/16,5040,0.00,99.20,73.00,1.70,289.00,
1233,4/10/16,5321,0.00,110.30,84.00,1.90,293.00,
1234,5/10/16,5221,0.00,108.20,83.50,0.10,315.00,
1235,6/10/16,4653,0.00,99.40,80.70,-0.80,148.00,
1236,7/10/16,4737,0.00,101.00,85.50,0.50,210.00,
1237,8/10/16,4698,0.00,101.70,84.30,1.10,402.00,
1238,9/10/16,4472,0.00,95.10,76.60,0.20,183.00,
1239,10/10/16,4264,0.00,90.50,71.50,-0.30,155.00,
1240,11/10/16,4274,0.00,92.50,73.60,0.20,169.00,
1241,12/10/16,4091,0.00,79.40,62.20,-1.30,179.00,
1242,13/10/16,3938,0.00,82.10,63.60,-0.20,138.00,
1243,14/10/16,4145,0.00,85.30,66.40,-0.20,84.00,
1244,15/10/16,4081,0.00,84.20,64.80,0.20,188.00,
1245,16/10/16,3830,0.00,79.50,60.50,-0.40,92.00,
1246,17/10/16,3583,0.00,73.00,54.80,-1.00,122.00,
1247,18/10/16,3864,0.00,78.90,59.80,0.30,137.00,
1248,19/10/16,3870,0.00,78.10,63.60,0.50,165.00,
1249,20/10/16,3755,0.00,77.30,61.80,0.20,205.00,
1250,21/10/16,3973,0.00,78.40,62.60,0.60,288.00,
1251,22/10/16,3966,0.00,78.40,63.20,0.80,242.00,
1252,23/10/16,3776,0.00,75.00,59.10,1.30,271.00,
1253,24/10/16,3776,0.00,75.50,55.30,5.10,420.00,
1254,25/10/16,3867,0.00,75.50,60.50,0.00,144.00,
1255,26/10/16,3879,0.00,76.40,60.70,0.30,160.00,
1256,27/10/16,3897,0.00,75.90,60.20,0.60,213.00,
1257,28/10/16,3821,0.00,74.20,59.60,-0.60,145.00,
1258,29/10/16,3645,0.00,72.10,58.40,-1.20,121.00,
1259,30/10/16,3298,0.00,67.00,57.40,0.40,209.00,
1260,31/10/16,2828,0.00,58.50,48.80,0.60,221.00,
1261,1/11/16,2813,0.00,57.50,47.40,1.00,217.00,
1262,2/11/16,3054,0.00,60.90,51.00,0.80,193.00,
1263,3/11/16,3418,0.00,64.70,54.00,1.20,197.00,
1264,4/11/16,3418,0.00,62.70,52.80,0.60,312.00,
1265,5/11/16,3382,0.00,63.90,54.80,0.10,110.00,
1266,6/11/16,3160,3.00,61.90,52.10,0.70,184.00,
1267,7/11/16,3058,0.00,58.30,48.90,1.20,225.00,
1268,8/11/16,3197,0.00,60.40,53.00,0.70,245.00,
1269,9/11/16,3272,0.00,61.10,52.50,0.60,260.00,
1270,10/11/16,3255,0.00,59.80,51.10,0.50,221.00,
1271,11/11/16,3161,0.00,59.30,43.50,1.40,560.00,
1272,12/11/16,3011,2.00,56.90,42.90,0.00,195.00,
1273,13/11/16,2795,0.00,54.40,39.80,0.30,189.00,
1274,14/11/16,2707,0.00,51.70,36.80,0.70,209.00,
1275,15/11/16,2874,0.00,54.30,39.50,0.50,138.00,
1276,16/11/16,2907,0.00,55.20,40.40,0.50,236.00,
1277,17/11/16,2930,0.00,55.20,40.40,0.50,159.00,
1278,18/11/16,2962,0.00,54.80,39.80,0.80,198.00,
1279,19/11/16,3055,0.00,55.90,40.20,1.30,188.00,
1280,20/11/16,2837,0.00,53.40,37.70,1.30,304.00,
1281,21/11/16,2925,0.00,52.50,36.40,1.60,263.00,
1282,22/11/16,2958,0.00,54.80,39.80,0.80,228.00,
1283,23/11/16,2975,0.00,55.50,39.90,1.00,315.00,
1284,24/11/16,3035,0.00,56.10,41.50,0.30,202.00,
1285,25/11/16,3036,0.00,56.70,41.20,0.30,210.00,
1286,26/11/16,3100,0.00,57.50,41.70,0.30,196.00,
1287,27/11/16,2928,0.00,54.00,40.10,0.10,259.00,
1288,28/11/16,2991,0.00,52.40,37.40,0.60,218.00,
1289,29/11/16,2982,0.00,54.70,41.00,-0.10,227.00,
1290,30/11/16,2987,0.00,55.10,42.40,0.60,193.00,
1291,1/12/16,2913,0.00,52.70,43.40,0.40,293.00,
1292,2/12/16,3036,0.00,56.90,42.00,1.30,287.00,
1293,3/12/16,3175,0.00,58.30,43.00,1.10,207.00,
1294,4/12/16,3022,0.00,54.20,38.60,0.50,179.00,
1295,5/12/16,3052,0.00,52.30,38.80,-0.80,117.00,
1296,6/12/16,2995,0.00,55.20,42.40,-1.70,261.00,
1297,7/12/16,3090,3.00,56.70,42.70,-1.10,201.00,
1298,8/12/16,3230,0.00,56.60,45.10,-1.60,179.00,
1299,9/12/16,3144,0.00,56.60,44.10,-2.30,215.00,
1300,10/12/16,3296,0.00,58.50,46.80,-0.30,192.00,
1301,11/12/16,3136,0.00,54.40,40.60,-0.10,226.00,
1302,12/12/16,3157,3.00,53.70,39.40,0.30,342.00,
1303,13/12/16,3314,0.00,55.70,40.50,0.90,261.00,
1304,14/12/16,3237,0.00,57.80,42.90,0.60,257.00,
1305,15/12/16,3247,0.00,58.00,43.60,0.00,267.00,
1306,16/12/16,3179,0.00,57.60,43.10,0.40,246.00,
1307,17/12/16,3381,0.00,59.30,43.80,1.30,323.00,
1308,18/12/16,3222,0.00,57.10,43.10,2.20,281.00,
1309,19/12/16,3309,0.00,55.50,42.00,1.90,253.00,
1310,20/12/16,3309,0.00,55.50,42.00,1.90,253.00,
1311,21/12/16,3387,0.00,59.60,43.60,1.70,326.00,
1312,22/12/16,3471,0.00,61.10,47.50,1.90,251.00,
1313,23/12/16,3302,0.00,58.60,46.30,0.20,250.00,
1314,24/12/16,3531,0.00,61.60,48.10,1.50,262.00,
1315,25/12/16,3276,0.00,56.70,44.90,0.00,207.00,
1316,26/12/16,3361,0.00,55.10,43.70,-0.20,238.00,
1317,27/12/16,3508,0.00,59.90,48.20,-0.30,269.00,
1318,28/12/16,3505,0.00,60.60,48.10,0.60,259.00,
1319,29/12/16,3582,0.00,60.60,47.00,1.00,281.00,
1320,30/12/16,3506,0.00,60.60,47.40,1.30,276.00,
1321,31/12/16,3801,0.00,62.80,49.20,1.30,290.00,
1322,1/1/17,3502,0.00,58.60,47.10,0.30,292.00,
1323,2/1/17,3482,0.00,56.30,44.00,0.40,246.00,
1324,3/1/17,3514,0.00,59.00,47.50,-0.10,241.00,
1325,4/1/17,3604,0.00,60.00,48.40,-0.20,312.00,
1326,5/1/17,3593,0.00,60.40,46.80,1.60,317.00,
1327,6/1/17,3493,0.00,59.10,46.50,0.90,120.00,
1328,7/1/17,3660,0.00,61.30,48.80,0.70,260.00,
1329,8/1/17,3333,0.00,57.80,45.20,0.60,304.00,
1330,9/1/17,3479,0.00,57.00,44.20,1.30,332.00,
1331,10/1/17,3678,0.00,61.50,48.60,0.70,217.00,
1332,11/1/17,3777,2.00,63.30,50.10,1.00,270.00,
1333,12/1/17,3777,2.00,63.70,50.90,0.20,245.00,
1334,13/01/17,3317,0.00,65.30,51.40,-1.20,383.00,
1335,14/01/17,3998,0.00,67.50,54.10,1.20,358.00,
1336,15/01/17,3983,0.00,64.20,51.00,1.10,381.00,
1337,16/01/17,3677,8.00,60.30,48.70,0.40,256.00,
1338,17/01/17,3709,0.00,64.00,53.50,-0.20,270.00,
1339,18/01/17,3976,0.00,68.20,54.90,2.50,318.00,
1340,19/01/17,3973,0.00,68.60,56.00,1.50,291.00,
1341,20/01/17,3973,0.00,67.80,56.90,0.60,225.00,
1342,21/01/17,3973,0.00,67.90,58.10,-0.60,260.00,
1343,22/01/17,3862,0.00,65.80,55.10,0.20,279.00,
1344,23/01/17,3895,0.00,62.50,52.30,-0.80,242.00,
1345,24/01/17,3777,0.00,64.10,54.60,-1.00,232.00,
1346,25/01/17,3711,0.00,63.80,53.80,-0.70,226.00,
1347,26/01/17,3709,0.00,63.50,53.80,-1.00,213.00,
1348,27/01/17,3043,0.00,50.70,42.80,1.10,227.00,
1349,28/01/17,3690,0.00,63.30,49.90,1.50,269.00,
1350,29/01/17,3688,0.00,61.50,49.60,0.10,229.00,
1351,30/01/17,3761,0.00,60.30,48.70,-0.40,228.00,
1352,31/01/17,3761,0.00,60.20,51.80,-3.40,250.00,
1353,1/2/17,3712,0.00,63.60,52.40,-0.50,204.00,
1354,2/2/17,3784,0.00,63.90,51.50,0.10,206.00,
1355,3/2/17,3568,27.00,62.90,51.10,-0.40,188.00,
1356,4/2/17,3774,0.00,64.10,51.90,0.00,203.00,
1357,5/2/17,3525,0.00,60.20,47.50,0.80,223.00,
1358,6/2/17,3555,0.00,59.10,46.60,0.70,770.00,
1359,7/2/17,3572,0.00,61.90,50.50,-1.10,276.00,
1360,8/2/17,3575,0.00,61.50,50.30,-1.00,225.00,
1361,9/2/17,3627,0.00,62.50,50.40,0.20,197.00,
1362,10/2/17,3540,0.00,62.00,50.40,-0.40,173.00,
1363,11/2/17,3781,0.00,63.40,51.00,0.10,216.00,
1364,12/2/17,3578,0.00,58.80,48.20,-1.20,169.00,
1365,13/02/17,3480,0.00,56.60,46.50,-1.30,283.00,
1366,14/02/17,3519,0.00,60.00,48.90,-0.70,173.00,
1367,15/02/17,3530,0.00,61.10,49.30,0.20,200.00,
1368,16/02/17,3614,0.00,61.40,49.80,-0.10,211.00,
1369,17/02/17,3441,0.00,61.20,49.20,0.30,175.00,
1370,18/02/17,3604,0.00,62.50,51.10,-0.30,241.00,
1371,19/02/17,3387,0.00,58.50,47.50,-0.80,143.00,
1372,20/02/17,3347,0.00,57.00,45.60,-0.20,217.00,
1373,21/02/17,3303,0.00,60.10,49.70,-1.00,186.00,
1374,22/02/17,3309,0.00,61.20,50.00,-0.50,174.00,
1375,23/02/17,3392,0.00,61.10,50.60,-1.20,152.00,
1376,24/02/17,3335,0.00,59.90,49.20,-1.10,153.00,
1377,25/02/17,3586,0.00,46.40,47.60,-1.10,165.00,
1378,26/02/17,3202,0.00,56.30,44.80,-0.60,186.00,
1379,27/02/17,3003,0.00,52.80,43.50,-2.50,171.00,
1380,28/02/17,3325,0.00,62.60,47.60,-0.40,184.00,
1381,1/3/17,3314,0.00,59.80,48.30,-0.20,198.00,
1382,2/3/17,3326,0.00,60.70,48.80,0.30,214.00,
1383,3/3/17,3336,0.00,61.20,49.50,-0.20,170.00,
1384,4/3/17,3388,0.00,61.00,49.70,-0.20,233.00,
1385,5/3/17,3222,0.00,57.40,46.50,-0.10,256.00,
1386,6/3/17,3121,0.00,55.40,43.50,0.20,246.00,
1387,7/3/17,3271,0.00,59.40,47.80,-0.10,209.00,
1388,8/3/17,3344,0.00,60.40,48.50,0.20,189.00,
1389,9/3/17,3375,0.00,61.10,49.40,0.90,180.00,
1390,10/3/17,3350,0.00,60.80,49.20,-0.10,191.00,
1391,11/3/17,3417,0.00,60.70,50.10,-1.00,214.00,
1392,12/3/17,3277,0.00,57.50,49.30,0.40,286.00,
