Date (DD/MM/YYYY),Max.Demand met during the day (MW),Shortage during maximum Demand (MW),Energy Met (MU),"Drawal Schedule
(MU)",OD(+)/UD(-) (MU),Max OD (MW),Energy Shortage (MU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/21,3625.00,0.00,63.30,50.20,0.70,274.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/01/17,3711.00,0.00,63.80,53.80,-0.70,"226
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/22,3765.00,0.00,76.20,68.90,-1.10,178.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/14,5128.00,144.00,108.40,79.10,1.00,"282
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/11/15,3000.00,2.00,54.30,39.90,0.20,"164
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/17,3761.00,0.00,60.20,51.80,-3.40,"250
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/21,3527.00,0.00,58.90,47.40,-1.30,179.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/23,3998.00,0.00,67.60,55.40,-3.70,137.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/14,2992.00,0.00,55.80,39.90,-1.10,"121
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/19,4903.00,0.00,96.40,80.70,-0.30,170.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/04/18,5094.00,0.00,103.90,80.30,-0.20,150.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/04/21,4282.00,0.00,86.00,71.60,-2.00,75.00 ,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/05/16,5376.00,32.00,110.90,91.70,0.90,"264
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/07/15,4422.00,18.00,93.00,82.60,-2.10,86.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/18,3959.00,0.00,66.80,50.80,-2.20,380.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/05/13,5001.00,0.00,105.80,78.30,-3.00,"134
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/20,5507.00,0.00,104.70,90.90,-2.20,223.00 ,"0.1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/06/17,5540.00,0.00,113.10,93.70,-0.20,192.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/19,3634.00,0.00,61.10,55.40,-1.70,119.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/13,5338.00,0.00,110.30,83.80,-2.60,"382
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/18,4559.00,0.00,94.30,65.00,-0.10,235.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/19,6575.00,0.00,134.90,106.60,1.00,261.00 ,"0.1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/12/14,4161.00,0.00,75.10,50.20,-3.40,"252
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/8/21,4866.00,0.00,104.80,94.10,-1.70,93.00 ,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/20,3229.00,0.00,63.20,46.20,-0.80,162.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/22,3604.00,0.00,67.40,60.60,-1.40,127.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/22,4577.00,0.00,75.30,63.00,-0.40,326.00 ,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/9/16,4601.00,0.00,96.40,84.60,-0.60,"133
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/18,6570.00,0.00,130.30,102.20,-2.10,143.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
