Date,Max.Demand met during the day (MW)
2014-03-30,-166.0
2014-03-31,-166.0
2014-04-01,497.0
2014-04-02,-206.0
2014-04-03,32.0
2014-04-04,-23.0
2014-04-05,36.0
2014-04-06,-222.0
2014-04-07,126.0
2014-04-08,226.0
2014-04-09,-397.0
2014-04-10,275.0
2014-04-11,-642.0
2014-04-12,1202.0
2014-04-13,-663.0
2014-04-14,-286.0
2014-04-15,602.0
2014-04-16,-65.0
2014-04-17,-315.0
2014-04-18,48.0
2014-04-19,-177.0
2014-04-20,151.0
2014-04-21,-42.0
2014-04-22,431.0
2014-04-23,-284.0
2014-04-24,-41.0
2014-04-25,168.0
2014-04-26,-50.0
2014-04-27,-252.0
2014-04-28,-1.0
2014-04-29,560.0
2014-04-30,-357.0
2014-05-01,184.0
2014-05-02,-269.0
2014-05-03,230.0
2014-05-04,-542.0
2014-05-05,396.0
2014-05-06,-5.0
2014-05-07,-126.0
2014-05-08,244.0
2014-05-09,-57.0
2014-05-10,-453.0
2014-05-11,-13.0
2014-05-12,253.0
2014-05-13,90.0
2014-05-14,-175.0
2014-05-15,-47.0
2014-05-16,478.0
2014-05-17,-9.0
2014-05-18,-364.0
2014-05-19,160.0
2014-05-20,125.0
2014-05-21,-53.0
2014-05-22,-11.0
2014-05-23,71.0
2014-05-24,-38.0
2014-05-25,-524.0
2014-05-26,-45.0
2014-05-27,800.0
2014-05-28,-170.0
2014-05-29,31.0
2014-05-30,-139.0
2014-05-31,285.0
2014-06-01,-1423.0
2014-06-02,990.0
2014-06-03,407.0
2014-06-04,-149.0
2014-06-05,-44.0
2014-06-06,187.0
2014-06-07,-514.0
2014-06-08,25.0
2014-06-09,-82.0
2014-06-10,477.0
2014-06-11,-67.0
2014-06-12,-124.0
2014-06-13,-192.0
2014-06-14,-334.0
2014-06-15,57.0
2014-06-16,536.0
2014-06-17,549.0
2014-06-18,-457.0
2014-06-19,-169.0
2014-06-20,-72.0
2014-06-21,70.0
2014-06-22,-400.0
2014-06-23,227.0
2014-06-24,213.0
2014-06-25,-27.0
2014-06-26,-260.0
2014-06-27,400.0
2014-06-28,-123.0
2014-06-29,-251.0
2014-06-30,-17.0
2014-07-01,504.0
2014-07-02,-419.0
2014-07-03,-285.0
2014-07-04,146.0
2014-07-05,715.0
2014-07-06,-513.0
2014-07-07,-239.0
2014-07-08,795.0
2014-07-09,-363.0
2014-07-10,8.0
2014-07-11,4.0
2014-07-12,-142.0
2014-07-13,-286.0
2014-07-14,54.0
2014-07-15,540.0
2014-07-16,-140.0
2014-07-17,-439.0
2014-07-18,43.0
2014-07-19,-641.0
2014-07-20,912.0
2014-07-21,103.0
2014-07-22,315.0
2014-07-23,-582.0
2014-07-24,-136.0
2014-07-25,136.0
2014-07-26,37.0
2014-07-27,246.0
2014-07-28,-272.0
2014-07-29,10.0
2014-07-30,-308.0
2014-07-31,819.0
2014-08-01,-222.0
2014-08-02,-97.0
2014-08-03,-477.0
2014-08-04,243.0
2014-08-05,408.0
2014-08-06,-465.0
2014-08-07,308.0
2014-08-08,-251.0
2014-08-09,35.0
2014-08-10,-33.0
2014-08-11,-185.0
2014-08-12,588.0
2014-08-13,111.0
2014-08-14,-353.0
2014-08-15,-119.0
2014-08-16,-641.0
2014-08-17,889.0
2014-08-18,-262.0
2014-08-19,448.0
2014-08-20,-140.0
2014-08-21,-108.0
2014-08-22,-212.0
2014-08-23,246.0
2014-08-24,-203.0
2014-08-25,13.0
2014-08-26,250.0
2014-08-27,-278.0
2014-08-28,176.0
2014-08-29,-459.0
2014-08-30,180.0
2014-08-31,-172.0
2014-09-01,-4.0
2014-09-02,538.0
2014-09-03,-237.0
2014-09-04,26.0
2014-09-05,-17.0
2014-09-06,-17.0
2014-09-07,-235.0
2014-09-08,606.0
2014-09-09,-23.0
2014-09-10,-136.0
2014-09-11,-331.0
2014-09-12,-227.0
2014-09-13,342.0
2014-09-14,144.0
2014-09-15,-421.0
2014-09-16,905.0
2014-09-17,-601.0
2014-09-18,306.0
2014-09-19,-151.0
2014-09-20,-210.0
2014-09-21,10.0
2014-09-22,-85.0
2014-09-23,395.0
2014-09-24,-456.0
2014-09-25,259.0
2014-09-26,-133.0
2014-09-27,106.0
2014-09-28,-151.0
2014-09-29,148.0
2014-09-30,96.0
2014-10-01,-51.0
2014-10-02,-123.0
2014-10-03,-261.0
2014-10-04,239.0
2014-10-05,384.0
2014-10-06,-349.0
2014-10-07,246.0
2014-10-08,-102.0
2014-10-09,-302.0
2014-10-10,58.0
2014-10-11,38.0
2014-10-12,-86.0
2014-10-13,-109.0
2014-10-14,653.0
2014-10-15,-482.0
2014-10-16,163.0
2014-10-17,-171.0
2014-10-18,184.0
2014-10-19,-297.0
2014-10-20,42.0
2014-10-21,690.0
2014-10-22,-387.0
2014-10-23,-211.0
2014-10-24,-192.0
2014-10-25,221.0
2014-10-26,188.0
2014-10-27,-186.0
2014-10-28,456.0
2014-10-29,-336.0
2014-10-30,-245.0
2014-10-31,433.0
2014-11-01,-233.0
